epoch,train_loss
0,0.144286
1,0.049924
2,0.027172
3,0.023831
4,0.023233
5,0.022661
6,0.022450
7,0.022297
8,0.022151
9,0.022042
10,0.021927
11,0.021730
12,0.021089
13,0.017992
14,0.015267
15,0.013106
16,0.012104
17,0.011695
18,0.011340
19,0.010888
20,0.010353
21,0.010040
22,0.009655
23,0.009256
24,0.008988
25,0.008768
26,0.008422
27,0.008167
28,0.007889
29,0.007617
30,0.007567
31,0.007324
32,0.006879
33,0.006673
34,0.006546
35,0.006419
36,0.006315
37,0.006216
38,0.006134
39,0.006114
40,0.006129
41,0.005979
42,0.006224
43,0.006086
44,0.005767
45,0.005670
46,0.005606
47,0.005554
48,0.005518
49,0.005603
50,0.005843
51,0.005739
52,0.005422
53,0.005211
54,0.005125
55,0.005071
56,0.005021
57,0.004992
58,0.004981
59,0.005015
60,0.005131
61,0.005244
62,0.005202
63,0.005061
64,0.004779
65,0.004630
66,0.004598
67,0.004591
68,0.004592
69,0.004618
70,0.004796
71,0.004805
72,0.004557
73,0.004490
74,0.004486
75,0.004509
76,0.004475
77,0.004439
78,0.004400
79,0.004336
80,0.004302
81,0.004316
82,0.004347
83,0.004420
84,0.004512
85,0.004689
86,0.004787
87,0.005095
88,0.005174
89,0.004668
90,0.004198
91,0.004100
92,0.004120
93,0.004125
94,0.004065
95,0.003977
96,0.003939
97,0.003924
98,0.003918
99,0.003922
100,0.003931
101,0.003899
102,0.003812
103,0.003748
104,0.003736
105,0.003813
106,0.004007
107,0.004660
108,0.004203
109,0.003766
110,0.003711
111,0.003806
112,0.003849
113,0.003899
114,0.003895
115,0.003900
116,0.003927
117,0.003822
118,0.003650
119,0.003541
120,0.003502
121,0.003506
122,0.003605
123,0.003638
124,0.003589
125,0.003695
126,0.003767
127,0.003867
128,0.003986
129,0.004079
130,0.004376
131,0.004786
132,0.004318
133,0.003825
134,0.003606
135,0.003481
136,0.003407
137,0.003382
138,0.003391
139,0.003436
140,0.003501
141,0.003600
142,0.003681
143,0.003613
144,0.003444
145,0.003327
146,0.003285
147,0.003273
148,0.003284
149,0.003302
150,0.003333
151,0.003387
152,0.003415
153,0.003381
154,0.003310
155,0.003285
156,0.003273
157,0.003271
158,0.003288
159,0.003343
160,0.003364
161,0.003394
162,0.003457
163,0.003642
164,0.003792
165,0.004163
166,0.004363
167,0.003869
168,0.003341
169,0.003268
170,0.003247
171,0.003189
172,0.003144
173,0.003122
174,0.003141
175,0.003202
176,0.003247
177,0.003256
178,0.003213
179,0.003201
180,0.003206
181,0.003248
182,0.003378
183,0.003632
184,0.004241
185,0.005278
186,0.005374
187,0.004132
188,0.003459
189,0.003339
190,0.003291
191,0.003254
192,0.003214
193,0.003167
194,0.003118
195,0.003053
196,0.002995
197,0.002962
198,0.002905
199,0.002889
200,0.002962
201,0.003072
202,0.003137
203,0.003148
204,0.003186
205,0.003288
206,0.003506
207,0.003770
208,0.003735
209,0.003311
210,0.003030
211,0.002911
212,0.002922
213,0.002957
214,0.002991
215,0.003035
216,0.003112
217,0.003082
218,0.002976
219,0.002828
220,0.002750
221,0.002729
222,0.002716
223,0.002703
224,0.002700
225,0.002701
226,0.002704
227,0.002770
228,0.002926
229,0.003184
230,0.003412
231,0.003481
232,0.003320
233,0.003005
234,0.002859
235,0.002835
236,0.002837
237,0.002848
238,0.002791
239,0.002721
240,0.002691
241,0.002674
242,0.002665
243,0.002685
244,0.002719
245,0.002790
246,0.002829
247,0.002853
248,0.002857
249,0.002828
250,0.002756
251,0.002689
252,0.002704
253,0.002778
254,0.002956
255,0.003244
256,0.003242
257,0.002930
258,0.002640
259,0.002632
260,0.002587
261,0.002548
262,0.002515
263,0.002498
264,0.002482
265,0.002481
266,0.002486
267,0.002552
268,0.002720
269,0.003028
270,0.003285
271,0.003190
272,0.002923
273,0.002814
274,0.002876
275,0.002821
276,0.002851
277,0.003174
278,0.003684
279,0.004046
280,0.004338
281,0.005010
282,0.005375
283,0.005538
284,0.004533
285,0.003502
286,0.002998
287,0.002873
288,0.002833
289,0.002791
290,0.002735
291,0.002661
292,0.002575
293,0.002470
294,0.002377
295,0.002320
296,0.002280
297,0.002274
298,0.002316
299,0.002337
300,0.002342
301,0.002355
302,0.002349
303,0.002368
304,0.002391
305,0.002399
306,0.002419
307,0.002433
308,0.002460
309,0.002516
310,0.002615
311,0.002793
312,0.003033
